file,sample,V_Hg,c_Hg_stock,pH
1,A,0,0,low
2,A,0,0,low
3,A,0,0,low
4,A,0,0,low
5,A,0,0,low
6,A,30,1.00E-05,low
7,A,30,1.00E-05,low
8,A,30,1.00E-05,low
9,A,30,1.00E-05,low
10,A,30,1.00E-05,low
11,A,30,1.00E-04,low
12,A,30,1.00E-04,low
13,A,30,1.00E-04,low
14,A,30,1.00E-04,low
15,A,30,1.00E-04,low
16,A,30,1.00E-03,low
17,A,30,1.00E-03,low
18,A,30,1.00E-03,low
19,A,30,1.00E-03,low
20,A,30,1.00E-03,low
21,A,30,1.00E-02,low
22,A,30,1.00E-02,low
23,A,30,1.00E-02,low
24,A,30,1.00E-02,low
25,A,30,1.00E-02,low
26,A,0,0,high
27,A,0,0,high
28,A,0,0,high
29,A,0,0,high
30,A,0,0,high
31,A,30,1.00E-05,high
32,A,30,1.00E-05,high
33,A,30,1.00E-05,high
34,A,30,1.00E-05,high
35,A,30,1.00E-05,high
36,A,30,1.00E-04,high
37,A,30,1.00E-04,high
38,A,30,1.00E-04,high
39,A,30,1.00E-04,high
40,A,30,1.00E-04,high
41,A,30,1.00E-03,high
42,A,30,1.00E-03,high
43,A,30,1.00E-03,high
44,A,30,1.00E-03,high
45,A,30,1.00E-03,high
46,A,30,1.00E-02,high
47,A,30,1.00E-02,high
48,A,30,1.00E-02,high
49,A,30,1.00E-02,high
50,A,30,1.00E-02,high
51,B,0,0,low
52,B,0,0,low
53,B,0,0,low
54,B,0,0,low
55,B,0,0,low
56,B,30,1.00E-05,low
57,B,30,1.00E-05,low
58,B,30,1.00E-05,low
59,B,30,1.00E-05,low
60,B,30,1.00E-05,low
61,B,30,1.00E-04,low
62,B,30,1.00E-04,low
63,B,30,1.00E-04,low
64,B,30,1.00E-04,low
65,B,30,1.00E-04,low
66,B,30,1.00E-03,low
67,B,30,1.00E-03,low
68,B,30,1.00E-03,low
69,B,30,1.00E-03,low
70,B,30,1.00E-03,low
71,B,30,1.00E-02,low
72,B,30,1.00E-02,low
73,B,30,1.00E-02,low
74,B,30,1.00E-02,low
75,B,30,1.00E-02,low
76,B,0,0,high
77,B,0,0,high
78,B,0,0,high
79,B,0,0,high
80,B,0,0,high
81,B,30,1.00E-05,high
82,B,30,1.00E-05,high
83,B,30,1.00E-05,high
84,B,30,1.00E-05,high
85,B,30,1.00E-05,high
86,B,30,1.00E-04,high
87,B,30,1.00E-04,high
88,B,30,1.00E-04,high
89,B,30,1.00E-04,high
90,B,30,1.00E-04,high
91,B,30,1.00E-03,high
92,B,30,1.00E-03,high
93,B,30,1.00E-03,high
94,B,30,1.00E-03,high
95,B,30,1.00E-03,high
96,B,30,1.00E-02,high
97,B,30,1.00E-02,high
