file,Au_level,AMP_level,Citr_level,NaH_level,N3_level,type,Au_conc,AMP_ratio,Citr_ratio,NaH_ratio,N3_ratio,Au_vol,AMP_vol,CitrNa_vol,CitrH_vol,N3_vol,water_vol
0,,,,,,ref,,,,,,,,,,,
1,0,0,0,0,0,au,0.2,20,200,0.5,5,50,240,120,120,60,5410
2,0,0,0,0,0,au,0.2,20,200,0.5,5,50,240,120,120,60,5410
3,0,0,0,0,0,au,0.2,20,200,0.5,5,50,240,120,120,60,5410
4,0,0,0,0,-1,au,0.2,20,200,0.5,0,50,240,120,120,0,5470
5,0,0,0,0,-1,au,0.2,20,200,0.5,0,50,240,120,120,0,5470
6,0,0,0,0,-1,au,0.2,20,200,0.5,0,50,240,120,120,0,5470
7,-1,-1,-1,-1,-1,au,0.15,10,150,0.1,0,37.5,90,13.5,121.5,0,5737.5
8,-1,-1,-1,-1,1,au,0.15,10,150,0.1,10,37.5,90,13.5,121.5,90,5647.5
9,-1,-1,-1,1,-1,au,0.15,10,150,0.9,0,37.5,90,121.5,13.5,0,5737.5
10,-1,-1,-1,1,1,au,0.15,10,150,0.9,10,37.5,90,121.5,13.5,90,5647.5
11,-1,-1,1,-1,-1,au,0.15,10,250,0.1,0,37.5,90,22.5,202.5,0,5647.5
12,-1,-1,1,-1,1,au,0.15,10,250,0.1,10,37.5,90,22.5,202.5,90,5557.5
13,-1,-1,1,1,-1,au,0.15,10,250,0.9,0,37.5,90,202.5,22.5,0,5647.5
14,-1,-1,1,1,1,au,0.15,10,250,0.9,10,37.5,90,202.5,22.5,90,5557.5
15,-1,1,-1,-1,-1,au,0.15,30,150,0.1,0,37.5,270,13.5,121.5,0,5557.5
16,-1,1,-1,-1,1,au,0.15,30,150,0.1,10,37.5,270,13.5,121.5,90,5467.5
17,-1,1,-1,1,-1,au,0.15,30,150,0.9,0,37.5,270,121.5,13.5,0,5557.5
18,-1,1,-1,1,1,au,0.15,30,150,0.9,10,37.5,270,121.5,13.5,90,5467.5
19,-1,1,1,-1,-1,au,0.15,30,250,0.1,0,37.5,270,22.5,202.5,0,5467.5
20,-1,1,1,-1,1,au,0.15,30,250,0.1,10,37.5,270,22.5,202.5,90,5377.5
21,-1,1,1,1,-1,au,0.15,30,250,0.9,0,37.5,270,202.5,22.5,0,5467.5
22,-1,1,1,1,1,au,0.15,30,250,0.9,10,37.5,270,202.5,22.5,90,5377.5
23,1,-1,-1,-1,-1,au,0.25,10,150,0.1,0,62.5,150,22.5,202.5,0,5562.5
24,1,-1,-1,-1,1,au,0.25,10,150,0.1,10,62.5,150,22.5,202.5,150,5412.5
25,1,-1,-1,1,-1,au,0.25,10,150,0.9,0,62.5,150,202.5,22.5,0,5562.5
26,1,-1,-1,1,1,au,0.25,10,150,0.9,10,62.5,150,202.5,22.5,150,5412.5
27,1,-1,1,-1,-1,au,0.25,10,250,0.1,0,62.5,150,37.5,337.5,0,5412.5
28,1,-1,1,-1,1,au,0.25,10,250,0.1,10,62.5,150,37.5,337.5,150,5262.5
29,1,-1,1,1,-1,au,0.25,10,250,0.9,0,62.5,150,337.5,37.5,0,5412.5
